Dataset,Seed,Model,AUC,Recall@10%LOC,Precision@10%LOC,InspectedModules@10%LOC,Recall@20%LOC,Precision@20%LOC,InspectedModules@20%LOC,Recall@30%LOC,Precision@30%LOC,InspectedModules@30%LOC
PC1,7,复杂度加权,0.6892005610098176,0.08695652173913043,0.4,5.0,0.13043478260869565,0.23076923076923078,13.0,0.2608695652173913,0.2857142857142857,21.0
PC1,7,GaussianNB,0.7429873772791024,0.21739130434782608,0.4166666666666667,12.0,0.30434782608695654,0.4117647058823529,17.0,0.391304347826087,0.47368421052631576,19.0
PC1,7,平衡Logistic,0.8985974754558205,0.13043478260869565,0.3333333333333333,9.0,0.2608695652173913,0.375,16.0,0.4782608695652174,0.4074074074074074,27.0
PC1,8,LOC排序基线,0.7075035063113605,0.0,0.0,6.0,0.17391304347826086,0.2857142857142857,14.0,0.2608695652173913,0.25,24.0
PC1,8,复杂度加权,0.6378681626928471,0.0,0.0,9.0,0.0,0.0,19.0,0.08695652173913043,0.06451612903225806,31.0
PC1,8,GaussianNB,0.650140252454418,0.0,0.0,9.0,0.08695652173913043,0.10526315789473684,19.0,0.2608695652173913,0.2222222222222222,27.0
PC1,8,平衡Logistic,0.8564516129032258,0.13043478260869565,0.23076923076923078,13.0,0.17391304347826086,0.2,20.0,0.30434782608695654,0.20588235294117646,34.0
PC1,9,LOC排序基线,0.7099579242636747,0.08695652173913043,0.6666666666666666,3.0,0.2608695652173913,0.5454545454545454,11.0,0.2608695652173913,0.3,20.0
PC1,9,复杂度加权,0.6481065918653577,0.043478260869565216,0.16666666666666666,6.0,0.13043478260869565,0.23076923076923078,13.0,0.21739130434782608,0.2,25.0
PC1,9,GaussianNB,0.7519635343618514,0.13043478260869565,0.42857142857142855,7.0,0.21739130434782608,0.38461538461538464,13.0,0.30434782608695654,0.3181818181818182,22.0
PC1,9,平衡Logistic,0.882258064516129,0.08695652173913043,0.4,5.0,0.2608695652173913,0.3,20.0,0.391304347826087,0.2727272727272727,33.0
