Dataset,Seed,FeatureGroup,AUC,Recall@10%LOC,Precision@10%LOC,InspectedModules@10%LOC,Recall@20%LOC,Precision@20%LOC,InspectedModules@20%LOC,Recall@30%LOC,Precision@30%LOC,InspectedModules@30%LOC
PC1,7,Halstead度量,0.820757363253857,0.13043478260869565,0.42857142857142855,7.0,0.13043478260869565,0.23076923076923078,13.0,0.391304347826087,0.375,24.0
PC1,8,Halstead度量,0.8086255259467041,0.08695652173913043,0.3333333333333333,6.0,0.21739130434782608,0.3125,16.0,0.2608695652173913,0.2608695652173913,23.0
PC1,9,Halstead度量,0.8108695652173913,0.13043478260869565,0.6,5.0,0.17391304347826086,0.3333333333333333,12.0,0.34782608695652173,0.2962962962962963,27.0
PC1,0,全部度量,0.8460028050490883,0.13043478260869565,0.375,8.0,0.2608695652173913,0.23076923076923078,26.0,0.43478260869565216,0.29411764705882354,34.0
PC1,1,全部度量,0.870406732117812,0.13043478260869565,0.23076923076923078,13.0,0.2608695652173913,0.2222222222222222,27.0,0.34782608695652173,0.18181818181818182,44.0
PC1,2,全部度量,0.8565217391304348,0.08695652173913043,0.5,4.0,0.2608695652173913,0.3333333333333333,18.0,0.391304347826087,0.3,30.0
PC1,3,全部度量,0.8711079943899018,0.08695652173913043,0.2857142857142857,7.0,0.21739130434782608,0.2777777777777778,18.0,0.391304347826087,0.2571428571428571,35.0
PC1,4,全部度量,0.8450210378681627,0.08695652173913043,0.5,4.0,0.13043478260869565,0.23076923076923078,13.0,0.30434782608695654,0.28,25.0
PC1,5,全部度量,0.8519635343618513,0.13043478260869565,0.375,8.0,0.2608695652173913,0.3333333333333333,18.0,0.34782608695652173,0.2962962962962963,27.0
PC1,6,全部度量,0.802805049088359,0.043478260869565216,0.07692307692307693,13.0,0.13043478260869565,0.13043478260869565,23.0,0.2608695652173913,0.16216216216216217,37.0
PC1,7,全部度量,0.911921458625526,0.13043478260869565,0.375,8.0,0.2608695652173913,0.3333333333333333,18.0,0.4782608695652174,0.36666666666666664,30.0
PC1,8,全部度量,0.8407433380084152,0.08695652173913043,0.2222222222222222,9.0,0.17391304347826086,0.23529411764705882,17.0,0.34782608695652173,0.22857142857142856,35.0
PC1,9,全部度量,0.8519635343618513,0.13043478260869565,0.3333333333333333,9.0,0.30434782608695654,0.4375,16.0,0.34782608695652173,0.24242424242424243,33.0
